Country,year,CO2 and GHG emission,,,,,,,,
China,2000,72806000000,,,,,,,,
China,2001,76232000000,,,,,,,,
China,2002,80014000000,,,,,,,,
China,2003,84467000000,,,,,,,,
China,2004,89593000000,,,,,,,,
China,2005,95364000000,,,,,,,,
China,2006,1.02E+11,,,,,,,,
China,2007,1.09E+11,,,,,,,,
China,2008,1.16E+11,,,,,,,,
Malaysia,2000,1803793866,,,,,,,,
Malaysia,2001,1937961023,,,,,,,,
Malaysia,2002,2070177475,,,,,,,,
Malaysia,2003,2226570969,,,,,,,,
Malaysia,2004,2388658984,,,,,,,,
Malaysia,2005,2561145555,,,,,,,,
Malaysia,2006,2726726109,,,,,,,,
Malaysia,2007,2909181850,,,,,,,,
Malaysia,2008,3110762165,,,,,,,,
Japan,2000,40989000000,,,,,,,,
Japan,2001,42237000000,,,,,,,,
Japan,2002,43514000000,,,,,,,,
Japan,2003,44799000000,,,,,,,,
Japan,2004,46079000000,,,,,,,,
Japan,2005,47366000000,,,,,,,,
Japan,2006,48629000000,,,,,,,,
Japan,2007,49929000000,,,,,,,,
Japan,2008,51158000000,,,,,,,,
Iran,2000,7436979470,,,,,,,,
Iran,2001,7831910833,,,,,,,,
Iran,2002,8229709157,,,,,,,,
Iran,2003,8643702635,,,,,,,,
Iran,2004,9085792329,,,,,,,,
Iran,2005,9549322291,,,,,,,,
Iran,2006,10053000000,,,,,,,,
Iran,2007,10566000000,,,,,,,,
Iran,2008,11101000000,,,,,,,,
Singapore,2000,1170018593,,,,,,,,
Singapore,2001,1219460689,,,,,,,,
Singapore,2002,1266633390,,,,,,,,
Singapore,2003,1297725963,,,,,,,,
Singapore,2004,1326176923,,,,,,,,
Singapore,2005,1356511179,,,,,,,,
Singapore,2006,1387285115,,,,,,,,
Singapore,2007,1407195291,,,,,,,,
Singapore,2008,1443300347,,,,,,,,
